rank,track_artist,peak,prev,streak,streams,track_name,artist_name
,"כולם גנבים
Osher Cohen",1,27.0,2,479066,כולם גנבים,Osher Cohen
,"משפחה וכבוד
Omer Adam",2,47.0,2,462532,משפחה וכבוד,Omer Adam
,"בן 32
Omer Adam",3,125.0,2,386596,בן 32,Omer Adam
,"פלאזה אתנה
Omer Adam",4,70.0,2,366832,פלאזה אתנה,Omer Adam
,"תקופה חרא
Omer Adam",5,167.0,2,351635,תקופה חרא,Omer Adam
,"אורות כחולים
Omer Adam",6,94.0,2,316504,אורות כחולים,Omer Adam
,"רולקס וקסקט
Eden Ben Zaken",1,1.0,8,299785,רולקס וקסקט,Eden Ben Zaken
,"לילות יפים
Omer Adam, Gal Adam, רואי אדם",8,109.0,2,286051,לילות יפים,"Omer Adam, Gal Adam, רואי אדם"
,"פינה של שקט
Omer Adam",9,134.0,2,275148,פינה של שקט,Omer Adam
,"מלכת הדור
Omer Adam",1,2.0,38,267111,מלכת הדור,Omer Adam
,"יש יותר מדי שירים היום
Omer Adam",11,111.0,2,255175,יש יותר מדי שירים היום,Omer Adam
,"אלבי
Omer Adam",12,93.0,2,253264,אלבי,Omer Adam
,"השיר שאת אהבת
Omer Adam",2,4.0,38,246254,השיר שאת אהבת,Omer Adam
,"שירתו של החורף
Omer Adam",14,126.0,2,245221,שירתו של החורף,Omer Adam
,"אם את כבר הולכת
נדב חנציס",1,3.0,41,237368,אם את כבר הולכת,נדב חנציס
,"לא שם
Osher Cohen",16,50.0,2,233066,לא שם,Osher Cohen
,"מישהו שמזכיר אותי
Omer Adam",17,170.0,2,232853,מישהו שמזכיר אותי,Omer Adam
,"ריו דה ז'נרו
Omer Adam",18,181.0,2,232563,ריו דה ז'נרו,Omer Adam
,"בכל יום שאיבדתי אותך
Osher Cohen",19,44.0,2,231622,בכל יום שאיבדתי אותך,Osher Cohen
,"שונא את תל אביב
Osher Cohen",20,57.0,2,230937,שונא את תל אביב,Osher Cohen
,"אהבה ראשונה
נדב חנציס",13,13.0,3,219129,אהבה ראשונה,נדב חנציס
,"להינשא הלילה (רצועת בונוס)
Omer Adam",22,,1,216586,להינשא הלילה (רצועת בונוס),Omer Adam
,"הסוף הזה
Omer Adam",23,,1,215309,הסוף הזה,Omer Adam
,"להשתטות (רצועת בונוס)
Omer Adam",24,,1,212178,להשתטות (רצועת בונוס),Omer Adam
,"ואן דאם
Odeya",1,6.0,21,200142,ואן דאם,Odeya
,"מאפיה
Omer Adam",26,,1,198422,מאפיה,Omer Adam
,"סחרחורות
Mor",5,5.0,16,195412,סחרחורות,Mor
,"מדאם
Noam Bettan",2,8.0,15,183606,מדאם,Noam Bettan
,"עוף מוזר
Peer Tasi",1,11.0,28,179677,עוף מוזר,Peer Tasi
,"DtMF
Bad Bunny",7,7.0,4,176651,DtMF,Bad Bunny
,"Seven (feat. Latto) (Explicit Ver.)
Jung Kook, Latto",13,15.0,18,174633,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
,"NUEVAYoL
Bad Bunny",9,9.0,4,170413,NUEVAYoL,Bad Bunny
,"השם ירחם
Tuna",6,12.0,39,167777,השם ירחם,Tuna
,"אבא אבא אבא
Omer Adam",34,,1,162511,אבא אבא אבא,Omer Adam
,"או לה פופה
Noa Kirel",35,,1,155682,או לה פופה,Noa Kirel
,"Tití Me Preguntó
Bad Bunny",10,10.0,3,155408,Tití Me Preguntó,Bad Bunny
,"באמת של האמת
Osher Cohen",6,14.0,30,154653,באמת של האמת,Osher Cohen
,"היא לא יודעת למה
Peer Tasi",4,16.0,35,148627,היא לא יודעת למה,Peer Tasi
,"מה יהיה מחר
Peer Tasi",7,20.0,92,143681,מה יהיה מחר,Peer Tasi
,"אין כבוד
Osher Cohen",5,19.0,30,142996,אין כבוד,Osher Cohen
,"WHERE IS MY HUSBAND!
RAYE",13,18.0,22,142518,WHERE IS MY HUSBAND!,RAYE
,"כל עכבה לטובה
Ben Zur",5,29.0,35,137806,כל עכבה לטובה,Ben Zur
,"בסיבוב הבא
Eden Ben Zaken",15,17.0,45,136225,בסיבוב הבא,Eden Ben Zaken
,"נגנב ממך
Full Trunk, Ninet Tayeb",5,21.0,28,132464,נגנב ממך,"Full Trunk, Ninet Tayeb"
,"לילות וקללות
Omer Adam",2,26.0,101,131498,לילות וקללות,Omer Adam
,"אין מילים איתך
Full Trunk",22,23.0,6,131390,אין מילים איתך,Full Trunk
,"Ordinary
Alex Warren",7,24.0,50,129904,Ordinary,Alex Warren
,"The Fate of Ophelia
Taylor Swift",10,28.0,21,126614,The Fate of Ophelia,Taylor Swift
,"עולם בשני צבעים
ששון איפרם שאולוב",3,22.0,29,126109,עולם בשני צבעים,ששון איפרם שאולוב
,"אהבת השם
Ben Zur",50,,1,122409,אהבת השם,Ben Zur
,"אני מסתובב
נדב חנציס",7,30.0,33,120908,אני מסתובב,נדב חנציס
,"רוקד לי על העצב
Mor",29,34.0,51,119981,רוקד לי על העצב,Mor
,"End of Beginning
Djo",14,33.0,13,119906,End of Beginning,Djo
,"נשמות צמאות
Ben Zur",7,35.0,30,118146,נשמות צמאות,Ben Zur
,"תהום
Omer Adam",2,40.0,68,117753,תהום,Omer Adam
,"חברים שלי
LIAD MEIR",45,45.0,3,117420,חברים שלי,LIAD MEIR
,"מפחד להתגבר עלייך?
נדב חנציס",31,31.0,3,117385,מפחד להתגבר עלייך?,נדב חנציס
,"איפה שתגידי
Omer Adam",5,46.0,38,117357,איפה שתגידי,Omer Adam
,"So Easy (To Fall In Love)
Olivia Dean",31,36.0,19,117349,So Easy (To Fall In Love),Olivia Dean
,"Raindance (feat. Tems)
Dave, Tems",41,43.0,7,114643,Raindance (feat. Tems),"Dave, Tems"
,"אבא
Ben Zur",25,42.0,80,114285,אבא,Ben Zur
,"אל תעשי לו צרות
Osher Cohen",6,52.0,40,113301,אל תעשי לו צרות,Osher Cohen
,"המבט בעיניך
Agam Buhbut",20,25.0,19,112355,המבט בעיניך,Agam Buhbut
,"טקילה
Omer Adam",2,38.0,68,106040,טקילה,Omer Adam
,"אדם שבור
Eden Hason",25,41.0,8,102942,אדם שבור,Eden Hason
,"Babydoll
Dominic Fike",66,68.0,4,101686,Babydoll,Dominic Fike
,"רוקי
Odeya",2,37.0,21,100638,רוקי,Odeya
,"פסיכופט
עידו מלכה",10,62.0,13,100449,פסיכופט,עידו מלכה
,"בריידזילה
Noa Kirel",3,56.0,15,98325,בריידזילה,Noa Kirel
,"Lush Life
Zara Larsson",29,39.0,13,96660,Lush Life,Zara Larsson
,"אחת ממיליון
רון חיון",1,59.0,50,95714,אחת ממיליון,רון חיון
,"פאפי
Odeya",4,55.0,23,94874,פאפי,Odeya
,"BAILE INoLVIDABLE
Bad Bunny",32,32.0,3,93617,BAILE INoLVIDABLE,Bad Bunny
,"היה טוב
Omer Adam",5,65.0,38,91471,היה טוב,Omer Adam
,"שמש שזורחת עליי
Ravid Plotnik",28,54.0,59,91213,שמש שזורחת עליי,Ravid Plotnik
,"אהבת חיי
רואי אדם",71,71.0,2,90226,אהבת חיי,רואי אדם
,"איש הפלא
Ben Zur",57,67.0,10,89540,איש הפלא,Ben Zur
,"תופסת
Eden Ben Zaken",33,49.0,7,89115,תופסת,Eden Ben Zaken
,"אהובי
Mor",32,48.0,16,87838,אהובי,Mor
,"Golden
HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",15,64.0,35,87329,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
,"רק שלך
Omer Adam",1,66.0,101,85835,רק שלך,Omer Adam
,"אפטרשוק
Eyal Golan",82,133.0,2,84587,אפטרשוק,Eyal Golan
,"בובה
Noam Bettan",15,61.0,9,83942,בובה,Noam Bettan
,"אליס
Odeya",4,53.0,35,83597,אליס,Odeya
,"back to friends
sombr",42,72.0,45,83485,back to friends,sombr
,"אלף חרבות
Eden Ben Zaken, נדב חנציס",17,51.0,7,82901,אלף חרבות,"Eden Ben Zaken, נדב חנציס"
,"נחלת בנימין
Itay Levi",3,60.0,50,80160,נחלת בנימין,Itay Levi
,"את לא יודעת כמה שאני אוהב אותך
Odeya",2,79.0,67,78689,את לא יודעת כמה שאני אוהב אותך,Odeya
,"היי בייב
Tuna",4,74.0,219,78286,היי בייב,Tuna
,"Meta הנשמה לא
Ishay Ribo",90,,1,77619,Meta הנשמה לא,Ishay Ribo
,"רוקד עם הכאב
Peer Tasi",36,58.0,31,75531,רוקד עם הכאב,Peer Tasi
,"אהובתי כבר לא רואה אותי
Omer Adam",1,69.0,68,75242,אהובתי כבר לא רואה אותי,Omer Adam
,"יפה שלי, יפה שלו
Eyal Golan",93,178.0,2,74810,"יפה שלי, יפה שלו",Eyal Golan
,"Man I Need
Olivia Dean",63,73.0,20,74374,Man I Need,Olivia Dean
,"עובד בכפר
Odeya",7,114.0,79,73444,עובד בכפר,Odeya
,"קשה בכדור הארץ
Tuna",19,82.0,39,73034,קשה בכדור הארץ,Tuna
,"Die With A Smile
Lady Gaga, Bruno Mars",2,77.0,80,72597,Die With A Smile,"Lady Gaga, Bruno Mars"
,"לורו פיאנה
רואי אדם",58,76.0,11,72512,לורו פיאנה,רואי אדם
